model,epoch_model,org,org_cat,country,date,open_weights,accessibility,arch,moe,N_total,N_active,N,D,D_src,D_flag,D_epoch,epochs,C_epoch,C_method,confidence,C_D_ratio,D_C_mismatch,code,distilled,notable,frontier,hf_dev,core,in_B,M,C6,sample
Pythia-410m,Pythia-410m,"EleutherAI,Booz Allen Hamilton, McLean,University of Cambridge,Indraprastha Institute of Information Technology
Delhi,Stability AI,datasaur.ai,University of Amsterdam","Research collective,Industry,Academia,Academia,Industry,Industry,Academia","United States of America,United States of America,United Kingdom,India,United Kingdom,United States of America,Netherlands",2023-04-03,True,Open weights (unrestricted),dense,False,410000000.0,410000000.0,410000000.0,299892736000.0,Epoch dataset size x epochs,,299892736000.0,1.0,7.37700000001e+20,Operation counting,Confident,0.9999510250921659,False,False,False,False,False,,False,True,731.4456975609756,7.3773613056e+20,A
BloombergGPT,BloombergGPT,"Bloomberg,Johns Hopkins University","Industry,Academia","United States of America,United States of America",2023-03-30,False,Unreleased,dense,False,50558868480.0,50558868480.0,50558868480.0,569000000000.0,Epoch dataset size x epochs,"fixed: Wu et al. (2023): 569B tokens trained = 0.8 epochs of the 708.9B-token corpus; Epoch's 569B is already tokens seen, so size x epochs double-counts",455200000000.0,0.8,2.36e+23,"Reported,Hardware",Confident,1.367260100688673,False,False,False,True,False,,True,False,11.254207562518614,1.7260797699072e+23,A
CPM-Bee,CPM-Bee,"Tsinghua University,Beijing Academy of Artificial Intelligence / BAAI,ModelBest,OpenBMB (Open Lab for Big Model Base)","Academia,Academia,Industry","China,China,China,China",2023-03-24,True,Open weights (unrestricted),dense,False,10000000000.0,10000000000.0,10000000000.0,140066666667.0,Epoch dataset size x epochs,,140066666667.0,,6.012e+22,Operation counting,Confident,7.1537363160229575,True,False,False,False,False,openbmb,True,False,14.0066666667,8.40400000002e+21,A
LightOn Mini,LightOn Mini,LightOn,Industry,France,2023-03-21,False,Hosted access (no API),dense,False,40000000000.0,40000000000.0,40000000000.0,1000000000000.0,Epoch dataset size x epochs,notes mention words but C/(6ND)~1: kept as tokens,1000000000000.0,,2.4e+23,Operation counting,Confident,1.0,False,False,False,False,False,,True,False,25.0,2.4e+23,A
Falcon-40B,Falcon-40B,Technology Innovation Institute,Government,United Arab Emirates,2023-03-15,True,Open weights (unrestricted),dense,False,40000000000.0,40000000000.0,40000000000.0,1000000000000.0,Epoch dataset size x epochs,notes mention words; kept,1000000000000.0,,2.4e+23,"Operation counting,Reported",Confident,1.0,False,False,False,True,False,,True,True,25.0,2.4e+23,A
Palmyra Large 20B,Palmyra Large 20B,Writer,Industry,United States of America,2023-03-01,True,Open weights (unrestricted),dense,False,20000000000.0,20000000000.0,20000000000.0,800000000000.0,Epoch dataset size x epochs,words->tokens via C/(6N),640000000000.0,0.8,9.6e+22,Operation counting,Speculative,1.0,False,False,False,False,False,Writer,False,False,40.0,9.6e+22,A
gpt-sw3-40b,gpt-sw3-40b,AI Sweden,,Sweden,2023-03-01,True,Open weights (restricted use),dense,False,40000000000.0,40000000000.0,40000000000.0,320000000000.0,Epoch C/(6N) (operation counting),D from compute,,,7.68e+22,Operation counting,Confident,1.0,False,False,False,False,False,,True,False,8.0,7.68e+22,A
CodeGen-Mono 16.1B,CodeGen-Mono 16.1B,Salesforce,Industry,United States of America,2023-02-27,True,Open weights (unrestricted),dense,False,16100000000.0,16100000000.0,16100000000.0,299706000000.0,Epoch dataset size x epochs,,299706000000.0,4.18,,,Likely,,False,True,False,False,False,,False,False,18.61527950310559,2.89515996e+22,A
LLaMA-13B,LLaMA-13B,Meta AI,Industry,United States of America,2023-02-27,True,Open weights (non-commercial),dense,False,13000000000.0,13000000000.0,13000000000.0,1000000000000.0,Epoch dataset size x epochs,,1000000000000.0,1.0,7.8e+22,Operation counting,Confident,1.0,False,False,False,True,False,,True,True,76.92307692307692,7.8e+22,A
LLaMA-33B,LLaMA-33B,Meta AI,Industry,United States of America,2023-02-27,True,Open weights (non-commercial),dense,False,32500000000.0,32500000000.0,32500000000.0,1456000000000.0,Epoch dataset size x epochs,,1456000000000.0,1.04,2.7300000000001e+23,Operation counting,Confident,0.9615384615384968,False,False,False,False,False,,True,True,44.8,2.8392e+23,A
LLaMA-65B,LLaMA-65B,Meta AI,Industry,United States of America,2023-02-24,True,Open weights (non-commercial),dense,False,65200000000.0,65200000000.0,65200000000.0,1526000000000.0,Epoch dataset size x epochs,,1526000000000.0,1.09,5.5e+23,Operation counting,Confident,0.9213174772920368,False,False,False,True,False,,True,True,23.404907975460123,5.969712e+23,A
LLaMA-7B,LLaMA-7B,Meta AI,Industry,United States of America,2023-02-24,True,Open weights (non-commercial),dense,False,6700000000.0,6700000000.0,6700000000.0,1000000000000.0,Epoch dataset size x epochs,notes mention words but C/(6ND)~1: kept as tokens,1000000000000.0,1.0,4.00000001e+22,Operation counting,Confident,0.9950248781094528,False,False,False,True,False,,True,True,149.2537313432836,4.02e+22,A
Hyena-2 355M,Hyena-2 355M,"Stanford University,University of Montreal / Université de Montréal,Mila - Quebec AI (originally Montreal Institute for Learning Algorithms)","Academia,Academia,Academia","United States of America,Canada,Canada",2023-02-21,False,Unreleased,ssm/hybrid,False,355000000.0,355000000.0,355000000.0,15000000000.0,Epoch dataset size x epochs,,15000000000.0,,3.93e+19,"Reported,Operation counting",Confident,1.2300469483568075,False,False,False,False,False,,False,False,42.25352112676056,3.195e+19,A
Hyena-2 153M,Hyena-2 153M,"Stanford University,University of Montreal / Université de Montréal,Mila - Quebec AI (originally Montreal Institute for Learning Algorithms)","Academia,Academia,Academia","United States of America,Canada,Canada",2023-02-21,True,Open weights (unrestricted),ssm/hybrid,False,153000000.0,153000000.0,153000000.0,15000000000.0,Epoch dataset size x epochs,,15000000000.0,,1.87e+19,"Reported,Operation counting",Confident,1.3580246913580247,False,False,False,False,False,,False,False,98.03921568627452,1.377e+19,A
Hybrid H3-1.3B,Hybrid H3-1.3B,"Stanford University,University at Buffalo","Academia,Academia","United States of America,United States of America",2022-12-28,True,Open weights (unrestricted),dense,False,1300000000.0,1300000000.0,1300000000.0,400000000000.0,Epoch dataset size x epochs,,400000000000.0,1.0,,,Confident,,False,False,False,False,False,,True,False,307.6923076923077,3.12e+21,A
ALM 1.0,ALM 1.0,Beijing Academy of Artificial Intelligence / BAAI,Academia,China,2022-11-28,False,Hosted access (no API),dense,False,335000000.0,335000000.0,335000000.0,22696572400.0,Epoch dataset size x epochs,,22696572400.0,,,,Speculative,,False,False,False,True,False,,False,False,67.7509623880597,4.5620110524e+19,A
Verbatim Memory Transformer (117M),Verbatim Memory Transformer (117M),"Johns Hopkins University,New York University (NYU)","Academia,Academia","United States of America,United States of America",2022-10-24,False,Unreleased,dense,False,117000000.0,117000000.0,117000000.0,10666666667.0,Epoch dataset size x epochs,,10666666667.0,,,,Confident,,False,False,False,False,False,,False,False,91.16809117094017,7.488000000234e+18,A
CPM-Ant,CPM-Ant,"Tsinghua University,Beijing Academy of Artificial Intelligence / BAAI,ModelBest,OpenBMB (Open Lab for Big Model Base)","Academia,Academia,Industry","China,China,China,China",2022-09-22,True,Open weights (non-commercial),dense,False,10000000000.0,10000000000.0,10000000000.0,33400000000.0,Epoch dataset size x epochs,,33400000000.0,,2.004e+22,Operation counting,Confident,9.999999999999998,True,False,False,False,False,,True,False,3.34,2.004e+21,A
NeMO Megatron GPT 20B,NeMO Megatron GPT 20B,Nvidia,Industry,United States of America,2022-09-15,True,Open weights (unrestricted),dense,False,20000000000.0,20000000000.0,20000000000.0,341173367965.0,Epoch dataset size x epochs,notes mention words; kept,341173367965.0,,,,Confident,,False,False,False,False,False,,True,False,17.05866839825,4.09408041558e+22,A
Luminous-supreme,Luminous-supreme,Aleph Alpha,Industry,Germany,2022-08-15,False,API access,dense,False,70000000000.0,70000000000.0,70000000000.0,1069300000000.0,Epoch dataset size x epochs,,1069300000000.0,,3.5461e+23,"Hardware,Operation counting",Confident,0.7895908760960663,False,False,False,False,False,,True,False,15.275714285714285,4.49106e+23,A
Luminous-extended,Luminous-extended,Aleph Alpha,Industry,Germany,2022-08-15,False,API access,dense,False,30000000000.0,30000000000.0,30000000000.0,460000000000.0,Epoch dataset size x epochs,,460000000000.0,,1.0019457e+23,"Operation counting,Hardware",Confident,1.210079347826087,False,False,False,False,False,,True,False,15.333333333333334,8.28e+22,A
Luminous-base,Luminous-base,Aleph Alpha,Industry,Germany,2022-08-15,False,API access,dense,False,13000000000.0,13000000000.0,13000000000.0,402000000000.0,Epoch dataset size x epochs,,402000000000.0,,3.1673782e+22,"Operation counting,Hardware",Confident,1.0101346472764383,False,False,False,False,False,,True,False,30.923076923076923,3.1356e+22,A
GLM-130B,GLM-130B,Tsinghua University,Academia,China,2022-08-04,True,Open weights (non-commercial),dense,False,130000000000.0,130000000000.0,130000000000.0,400000000000.0,Epoch dataset size x epochs,fixed: GLM-130B paper (quoted in Epoch's notes): trained on over 400B tokens (200B Chinese + 200B English); Epoch's dataset field says 152B; its compute notes use 6 x 400B x 130B,152000000000.0,1.0,3.5490054945e+23,"Operation counting,Hardware",Confident,1.1375017610576923,False,False,False,True,False,,True,False,3.076923076923077,3.12e+23,A
BLOOM-176B,BLOOM-176B,"Hugging Face,BigScience","Industry,Research collective","United States of America,France",2022-07-11,True,Open weights (restricted use),dense,False,176247271424.0,176247271424.0,176247271424.0,379000000000.0,Epoch dataset size x epochs,,379000000000.0,1.0,3.65664e+23,Hardware,Confident,0.9123665264076545,False,False,False,True,False,,True,True,2.1503879006911575,4.00786295218176e+23,A
BLOOM-7.1B,BLOOM-7.1B,"Hugging Face,BigScience","Industry,Research collective","United States of America,France",2022-07-05,True,Open weights (restricted use),dense,False,7070000000.0,7070000000.0,7070000000.0,354000000000.0,Epoch dataset size x epochs,,354000000000.0,1.0,1.5014556e+22,Operation counting,Confident,0.9998585572843,False,False,False,False,False,bigscience,True,True,50.07072135785007,1.501668e+22,A
BLOOM-1.7B,BLOOM-1.7B,"Hugging Face,BigScience","Industry,Research collective","United States of America,France",2022-07-05,True,Open weights (restricted use),dense,False,1700000000.0,1700000000.0,1700000000.0,354000000000.0,Epoch dataset size x epochs,,354000000000.0,1.0,,,Confident,,False,False,False,False,False,,True,False,208.23529411764707,3.6108e+21,A
BLOOM-560M,BLOOM-560M,"Hugging Face,BigScience","Industry,Research collective","United States of America,France",2022-07-05,True,Open weights (restricted use),dense,False,560000000.0,560000000.0,560000000.0,354000000000.0,Epoch dataset size x epochs,,354000000000.0,1.0,,,Confident,,False,False,False,False,False,,True,True,632.1428571428571,1.18944e+21,A
BLOOM-1B,BLOOM-1B,"Hugging Face,BigScience","Industry,Research collective","United States of America,France",2022-07-05,True,Open weights (restricted use),dense,False,1000000000.0,1000000000.0,1000000000.0,354000000000.0,Epoch dataset size x epochs,,354000000000.0,1.0,,,Confident,,False,False,False,False,False,,True,True,354.0,2.124e+21,A
BLOOM-3B,BLOOM-3B,"Hugging Face,BigScience","Industry,Research collective","United States of America,France",2022-07-05,True,Open weights (restricted use),dense,False,3000000000.0,3000000000.0,3000000000.0,354000000000.0,Epoch dataset size x epochs,,354000000000.0,1.0,,,Confident,,False,False,False,False,False,,True,True,118.0,6.372e+21,A
GPT-SW3,GPT-SW3,"AI Sweden,RISE",Academia,"Sweden,Sweden",2022-06-25,False,Unreleased,dense,False,3500000000.0,3500000000.0,3500000000.0,101700000000.0,Epoch dataset size x epochs,"fixed: Epoch notes: 97,000 steps x 512 x 2,048 = 101.7B tokens processed; the dataset field is already tokens seen, so x 5 epochs over-counts",508559360000.0,5.0,1.6663535e+21,"Hardware,Operation counting",Confident,0.7802376270075385,False,False,False,False,False,,True,False,29.057142857142857,2.1357e+21,A
YaLM,YaLM,Yandex,Industry,Russia,2022-06-23,True,Open weights (unrestricted),dense,False,100000000000.0,100000000000.0,100000000000.0,300000000000.0,Epoch dataset size x epochs,,300000000000.0,,2.2e+23,Hardware,Likely,1.2222222222222223,False,False,False,False,False,,True,False,3.0,1.8e+23,A
CodeGeeX,CodeGeeX,"Z.ai (Zhipu AI),Tsinghua University","Industry,Academia","China,China",2022-06-22,True,Open weights (restricted use),dense,False,13000000000.0,13000000000.0,13000000000.0,850000000000.0,Epoch dataset size x epochs,,850000000000.0,,6.630000000001e+22,Operation counting,Confident,1.0000000000001508,False,True,False,False,False,,False,False,65.38461538461539,6.63e+22,A
OPT-1.3B,OPT-1.3B,Meta AI,Industry,United States of America,2022-06-21,True,Open weights (non-commercial),dense,False,1300000000.0,1300000000.0,1300000000.0,300600000000.0,Epoch dataset size x epochs,,300600000000.0,1.67,,,Confident,,False,False,False,False,False,,True,True,231.23076923076923,2.34468e+21,A
OPT-6.7B,OPT-6.7B,Meta AI,Industry,United States of America,2022-06-21,True,Open weights (non-commercial),dense,False,6700000000.0,6700000000.0,6700000000.0,300600000000.0,Epoch dataset size x epochs,,300600000000.0,1.67,1.2060000000001e+22,Comparison with other models,Confident,0.9980039920160507,False,False,False,False,False,,True,True,44.865671641791046,1.208412e+22,A
OPT-66B,OPT-66B,Meta AI,Industry,United States of America,2022-06-21,True,Open weights (non-commercial),dense,False,66000000000.0,66000000000.0,66000000000.0,300600000000.0,Epoch dataset size x epochs,,300600000000.0,1.67,1.100000000001e+23,Operation counting,Confident,0.9240777703859957,False,False,False,False,False,,True,True,4.554545454545455,1.190376e+23,A
OPT-350M,OPT-350M,Meta AI,Industry,United States of America,2022-06-21,True,Open weights (non-commercial),dense,False,350000000.0,350000000.0,350000000.0,300600000000.0,Epoch dataset size x epochs,,300600000000.0,1.67,,,Confident,,False,False,False,False,False,,False,True,858.8571428571429,6.3126e+20,A
OPT-2.7B,OPT-2.7B,Meta AI,Industry,United States of America,2022-06-21,True,Open weights (non-commercial),dense,False,2700000000.0,2700000000.0,2700000000.0,300600000000.0,Epoch dataset size x epochs,,300600000000.0,1.67,,,Confident,,False,False,False,False,False,,True,True,111.33333333333333,4.86972e+21,A
OPT-30B,OPT-30B,Meta AI,Industry,United States of America,2022-06-21,True,Open weights (non-commercial),dense,False,30000000000.0,30000000000.0,30000000000.0,300600000000.0,Epoch dataset size x epochs,,300600000000.0,1.67,5.4000000000001e+22,Operation counting,Confident,0.9980039920159866,False,False,False,False,False,,True,True,10.02,5.4108e+22,A
BIG-G 137B,BIG-G 137B,Google,Industry,United States of America,2022-06-09,False,Unreleased,dense,False,137000000000.0,137000000000.0,137000000000.0,681200000000.0,Epoch dataset size x epochs,,681200000000.0,1.0,5.6e+23,Operation counting,Confident,1.0000957234478158,False,False,False,False,False,,True,False,4.972262773722628,5.599464e+23,A
GPT-2 Medium (FlashAttention),GPT-2 Medium (FlashAttention),"Stanford University,University at Buffalo","Academia,Academia","United States of America,United States of America",2022-05-27,True,Open weights (unrestricted),dense,False,355000000.0,355000000.0,355000000.0,10130000000.0,Epoch dataset size x epochs,,10130000000.0,,8.9280922e+20,"Comparison with other models,Hardware",Confident,41.378011669887705,False,False,False,True,False,,False,False,28.535211267605632,2.15769e+19,A
OPT-175B,OPT-175B,Meta AI,Industry,United States of America,2022-05-02,True,Open weights (non-commercial),dense,False,175000000000.0,175000000000.0,175000000000.0,300006000000.0,Epoch dataset size x epochs,notes mention words; kept,300006000000.0,1.6667,4.3e+23,Reported,Confident,1.3650520640380843,False,False,False,True,False,,True,False,1.71432,3.150063e+23,A
Sparse all-MLP,Sparse all-MLP,Meta AI,Industry,United States of America,2022-04-14,False,Unreleased,dense,False,9410000000.0,9410000000.0,9410000000.0,100000000000.0,Epoch dataset size x epochs,notes mention words; kept,100000000000.0,,5.32224e+20,Hardware,Confident,0.09426567481402762,False,False,False,True,False,,True,False,10.626992561105208,5.646e+21,A
PaLM (540B),PaLM (540B),Google Research,Industry,United States of America,2022-04-04,False,Unreleased,dense,False,540350000000.0,540350000000.0,540350000000.0,780000000000.0,Epoch dataset size x epochs,notes mention words; kept,780000000000.0,1.0,2.5272e+24,Hardware,Confident,0.9993522716757658,False,False,False,True,True,,True,False,1.4435088368649949,2.528838e+24,A
NoPos,NoPos,"Tel Aviv University,University of Washington,Intel Labs,Meta AI","Academia,Academia,Industry,Industry","Israel,United States of America,United States of America,United States of America",2022-03-30,False,Unreleased,dense,False,1300000000.0,1300000000.0,1300000000.0,2520000000.0,Epoch dataset size x epochs,,2520000000.0,0.12,2.09664e+19,Operation counting,Confident,1.0666666666666667,False,False,False,False,False,,False,False,1.9384615384615385,1.9656e+19,A
Chinchilla,Chinchilla,DeepMind,Industry,United Kingdom,2022-03-29,False,Unreleased,dense,False,70000000000.0,70000000000.0,70000000000.0,1400000000000.0,Epoch dataset size x epochs,notes mention words; kept,1400000000000.0,1.0,5.76e+23,Reported,Confident,0.9795918367346939,False,False,False,True,False,,True,False,20.0,5.88e+23,A
GPT3-6.7B + muP,GPT3-6.7B + muP,"Microsoft,OpenAI","Industry,Industry","United States of America,United States of America",2022-03-07,False,Unreleased,dense,False,6700000000.0,6700000000.0,6700000000.0,300000000000.0,Epoch dataset size x epochs,,300000000000.0,1.0,1.28e+22,"Comparison with other models,Operation counting",Confident,1.0613598673300164,False,False,False,False,False,,True,False,44.776119402985074,1.206e+22,A
Statement Curriculum Learning,Statement Curriculum Learning,OpenAI,Industry,United States of America,2022-03-02,False,API access,dense,False,774000000.0,774000000.0,774000000.0,372000000000.0,Epoch dataset size x epochs,,372000000000.0,,1.7901648e+22,Hardware,Likely,10.362340585146287,False,False,False,True,False,,True,False,480.62015503875966,1.727568e+21,A
PolyCoder,PolyCoder,Carnegie Mellon University (CMU),Academia,United States of America,2022-02-26,True,Open weights (unrestricted),dense,False,2700000000.0,2700000000.0,2700000000.0,39300000000.0,Epoch dataset size x epochs,,39300000000.0,,1.1e+21,Hardware,Likely,1.7277667828982501,False,True,False,True,False,NinedayWang,False,False,14.555555555555555,6.3666e+20,A
LaMDA,LaMDA,Google,Industry,United States of America,2022-02-10,False,Unreleased,dense,False,137000000000.0,137000000000.0,137000000000.0,2080000000000.0,Epoch dataset size x epochs,notes mention words; kept,2080000000000.0,,3.55e+23,Hardware,Confident,0.20763148044169943,False,False,False,True,False,,True,False,15.182481751824817,1.70976e+24,A
GPT-NeoX-20B,GPT-NeoX-20B,EleutherAI,Research collective,United States of America,2022-02-09,True,Open weights (unrestricted),dense,False,20000000000.0,20000000000.0,20000000000.0,477642715151.0,Epoch dataset size x epochs,,477642715151.0,1.4,9.31627008e+22,Hardware,Confident,1.625390308223514,False,False,False,True,False,,True,True,23.88213575755,5.731712581812e+22,A
RETRO-7B,RETRO-7B,DeepMind,Industry,United Kingdom,2022-02-07,False,Unreleased,dense,False,7500000000.0,7500000000.0,7500000000.0,419430400000.0,Epoch dataset size x epochs,notes mention words; kept,419430400000.0,,1.68e+22,Operation counting,Confident,0.8900960286458334,False,False,False,True,False,,True,False,55.92405333333333,1.8874368e+22,A
AlphaCode,AlphaCode,DeepMind,Industry,United Kingdom,2022-02-02,False,Unreleased,dense,False,41100000000.0,41100000000.0,41100000000.0,967000000000.0,Epoch dataset size x epochs,,967000000000.0,,2.38010000000001e+23,Hardware,Confident,0.9981036826801103,False,True,False,True,False,,False,False,23.527980535279806,2.384622e+23,A
Primer (GPT-3 XL-like 1.9B),Primer (GPT-3 XL-like 1.9B),Google Brain,Industry,United States of America,2022-01-24,False,Unreleased,dense,False,1900000000.0,1900000000.0,1900000000.0,2000000000000.0,Epoch dataset size x epochs,,2000000000000.0,,2.2049963e+22,"Hardware,Operation counting",Confident,0.9671036403508771,False,False,False,False,False,,True,False,1052.6315789473683,2.28e+22,A
Fairseq-dense 13B,Fairseq-dense 13B,Meta AI,Industry,United States of America,2021-12-20,True,Open weights (unrestricted),dense,False,13000000000.0,13000000000.0,13000000000.0,400213333333.3333,Epoch dataset size x epochs,words->tokens x4/3,300160000000.0,2.68,3.267e+22,Reported,Likely,1.0465572207643103,False,False,False,False,False,,True,False,30.785641025641024,3.121664e+22,A
XGLM-7.5B,XGLM-7.5B,"Meta AI,Facebook AI Research","Industry,Industry","United States of America,United States of America,France",2021-12-20,True,Open weights (non-commercial),dense,False,7500000000.0,7500000000.0,7500000000.0,500000000000.0,Epoch dataset size x epochs,,500000000000.0,1.0,2.25e+22,"Operation counting,Hardware",Confident,1.0,False,False,False,True,False,,True,True,66.66666666666667,2.25e+22,A
GLaM,GLaM,Google,Industry,United States of America,2021-12-13,False,Unreleased,moe,True,1200000000000.0,101008645650.0,101008645650.0,600000000000.0,Epoch dataset size x epochs,notes mention words but C/(6ND)~1: kept as tokens,600000000000.0,,3.6363112434e+23,"Operation counting,Hardware",Confident,1.0,False,False,False,True,False,,True,False,5.940085585139216,3.6363112434e+23,A
Gopher (280B),Gopher (280B),DeepMind,Industry,United Kingdom,2021-12-08,False,Unreleased,dense,False,280000000000.0,280000000000.0,280000000000.0,300000000000.0,Epoch dataset size x epochs,notes mention words; kept,300000000000.0,1.0,6.31e+23,Reported,Confident,1.251984126984127,False,False,False,True,True,,True,False,1.0714285714285714,5.04e+23,A
Japanese dialog transformers,Japanese dialog transformers,NTT Communication Science Laboratories,Industry,Japan,2021-11-09,True,Open weights (non-commercial),dense,False,1600000000.0,1600000000.0,1600000000.0,42630000000.0,Epoch dataset size x epochs,,42630000000.0,,,,,,False,False,False,False,False,,False,False,26.64375,4.09248e+20,A
Yuan 1.0,Yuan 1.0,Inspur,Industry,China,2021-10-12,False,API access,dense,False,245730000000.0,245730000000.0,245730000000.0,180000000000.0,Epoch dataset size x epochs,notes mention words; kept,180000000000.0,,3.5380000000001e+23,Reported,Confident,1.3331404085484144,False,False,False,True,True,,True,False,0.7325112928824319,2.653884e+23,A
Megatron-Turing NLG 530B,Megatron-Turing NLG 530B,"Microsoft,Nvidia","Industry,Industry","United States of America,United States of America",2021-10-11,False,Unreleased,dense,False,530000000000.0,530000000000.0,530000000000.0,270000000000.0,Epoch dataset size x epochs,notes mention words; kept,270000000000.0,,8.586e+23,Third-party estimation,Confident,1.0,False,False,False,True,True,,True,False,0.5094339622641509,8.586e+23,A
HyperCLOVA 82B,HyperCLOVA 82B,"NAVER,Search Solutions","Industry,Industry","South Korea,South Korea",2021-09-10,False,API access,dense,False,82000000000.0,82000000000.0,82000000000.0,300000000000.0,Epoch dataset size x epochs,notes mention words but C/(6ND)~1: kept as tokens,300000000000.0,,1.476e+23,"Operation counting,Hardware",Confident,1.0,False,False,False,True,False,,True,False,3.658536585365854,1.476e+23,A
HyperCLOVA 204B,HyperCLOVA 204B,NAVER,Industry,South Korea,2021-09-10,False,Hosted access (no API),dense,False,204000000000.0,204000000000.0,204000000000.0,560000000000.0,Epoch dataset size x epochs,,560000000000.0,,2.0000000001e+23,,Speculative,0.2917833800332633,False,False,False,True,True,,False,False,2.7450980392156863,6.8544e+23,A
NLM,NLM,"Carnegie Mellon University (CMU),University of California San Diego","Academia,Academia","United States of America,United States of America",2021-09-09,False,Unreleased,dense,False,247000512.0,247000512.0,247000512.0,18778638537.127136,Epoch C/(6N) (operation counting),D from compute,,,2.783e+19,Operation counting,Confident,1.0,False,False,False,False,False,,False,False,76.0267190746841,2.783e+19,A
MEB,MEB,Microsoft,Industry,United States of America,2021-09-04,False,Hosted access (no API),dense,False,135000000000.0,135000000000.0,135000000000.0,500000000000.0,Epoch dataset size x epochs,,500000000000.0,,,,Confident,,False,False,False,True,False,,True,False,3.7037037037037037,4.05e+23,A
"GPT-2 (1.5B, Curriculum Learning 45K)","GPT-2 (1.5B, Curriculum Learning 45K)",Microsoft,Industry,United States of America,2021-08-13,False,Unreleased,dense,False,1500000000.0,1500000000.0,1500000000.0,251200000000.0,Epoch dataset size x epochs,,251200000000.0,1.6,2.3811e+21,"Comparison with other models,Hardware,Operation counting",Likely,1.053211252653928,False,False,False,False,False,,True,False,167.46666666666667,2.2608e+21,A
"GPT-2 (117M, SLW 110K)","GPT-2 (117M, SLW 110K)",Microsoft,Industry,United States of America,2021-08-13,False,Unreleased,dense,False,117000000.0,117000000.0,117000000.0,157000000000.0,Epoch C/(6N) (operation counting),D from compute,,,1.10214e+20,Operation counting,Confident,1.0,False,False,False,False,False,,False,False,1341.8803418803418,1.10214e+20,A
Jurassic-1-Jumbo,Jurassic-1-Jumbo,AI21 Labs,Industry,Israel,2021-08-11,False,API access,dense,False,178000000000.0,178000000000.0,178000000000.0,300000000000.0,Epoch dataset size x epochs,notes mention words; kept,300000000000.0,,3.7e+23,Third-party estimation,Confident,1.1548064918851437,False,False,False,True,True,,True,False,1.6853932584269662,3.204e+23,A
EMDR,EMDR,"Mila - Quebec AI (originally Montreal Institute for Learning Algorithms),McGill University,DeepMind","Academia,Academia,Industry","Canada,Canada,United Kingdom",2021-06-09,True,Open weights (unrestricted),dense,False,440000000.0,440000000.0,440000000.0,694980000000.0,Epoch dataset size x epochs,notes mention words; kept,694980000000.0,4.05,1.91e+21,"Hardware,Operation counting",Confident,1.0410153507796605,False,False,False,True,False,,True,False,1579.5,1.8347472e+21,A
GPT-J-6B,GPT-J-6B,"EleutherAI,LAION","Research collective,Research collective","United States of America,Germany",2021-05-01,True,Open weights (unrestricted),dense,False,6053381344.0,6053381344.0,6053381344.0,400000000000.0,Epoch dataset size x epochs,notes mention words; kept,400000000000.0,1.0,1.5e+22,Reported,Confident,1.0324807978923853,False,False,False,False,False,,True,True,66.07877106511266,1.45281152256e+22,A
PanGu-α,PanGu-α,Huawei Noah's Ark Lab,Industry,China,2021-04-25,False,Unreleased,dense,False,207000000000.0,207000000000.0,207000000000.0,41159420289.85508,Epoch C/(6N) (operation counting),D from compute,,1.0,5.112e+22,"Operation counting,Third-party estimation",Likely,0.9999999999999999,False,False,False,False,False,,True,False,0.19883777917804385,5.112000000000001e+22,A
GPT-Neo-2.7B,GPT-Neo-2.7B,EleutherAI,Research collective,United States of America,2021-03-21,True,Open weights (unrestricted),dense,False,2700000000.0,2700000000.0,2700000000.0,420000000000.0,Epoch dataset size x epochs,,420000000000.0,,7.9e+21,"Third-party estimation,Operation counting",Confident,1.1610817166372722,False,False,False,False,False,EleutherAI,True,True,155.55555555555554,6.804e+21,A
GLM-10B,GLM-10B,"Tsinghua University,Beijing Academy of Artificial Intelligence / BAAI,Massachusetts Institute of Technology (MIT),Shanghai Qi Zhi institute","Academia,Academia,Academia","China,China,United States of America,China",2021-03-18,True,Open weights (unrestricted),dense,False,10000000000.0,10000000000.0,10000000000.0,82329255000.0,Epoch C/(6N) (operation counting),D from compute,,1.0,4.9397553e+21,"Hardware,Operation counting",Likely,1.0,False,False,False,False,False,,True,False,8.2329255,4.9397553e+21,A
GLM-2B,GLM-2B,"Tsinghua University,Beijing Academy of Artificial Intelligence / BAAI,Massachusetts Institute of Technology (MIT)","Academia,Academia,Academia","China,China,United States of America",2021-03-18,True,Open weights (unrestricted),dense,False,2000000000.0,2000000000.0,2000000000.0,33000000000.0,Epoch dataset size x epochs,,33000000000.0,1.0,,,Confident,,False,False,False,False,False,,False,False,16.5,3.96e+20,A
AraGPT2-Mega,AraGPT2-Mega,American University of Beirut,Academia,Lebanon,2020-12-31,True,Open weights (unrestricted),dense,False,1500000000.0,1500000000.0,1500000000.0,222222222222.22223,Epoch C/(6N) (operation counting),D from compute,,20.0,2e+21,"Third-party estimation,Hardware,Operation counting",Confident,1.0,False,False,False,False,False,aubmindlab,True,False,148.14814814814815,2e+21,A
CPM-Large,CPM-Large,"Tsinghua University,Beijing Academy of Artificial Intelligence / BAAI","Academia,Academia","China,China",2020-12-01,True,Open weights (unrestricted),dense,False,2600000000.0,2600000000.0,2600000000.0,16700000000.0,Epoch dataset size x epochs,notes mention words; kept,16700000000.0,,2.6052e+20,Third-party estimation,Confident,1.0,False,False,False,True,False,,False,False,6.423076923076923,2.6052e+20,A
