item,quantity,value,formatted,source,note
W24(f),MPT family share s_f (reference),0.2495267789180395,0.250,data/processed/rb2_decisions/decision_units.csv,was 0.24 in version 3
"W23(f), W24(a)","range of median s over models, 32 technologies (audited)",0.14 to 0.84,0.14 to 0.84,output/tables/rb2_decisions_technologies_models.csv,
"W7, W23(f)","range of median s over the 49 decision units, 32 technologies",0.04 to 0.80,0.04 to 0.80,output/tables/rb2_decisions_technologies_units.csv,
W7,"range of the share of decision units with w > 1, 32 technologies",0.57 to 1.00,0.57 to 1.00,output/tables/rb2_decisions_technologies_units.csv,
"W23(f), W7","median s over models, reference, Farseer kappa free, DeepSeek law, developers' paths with model-free curvature (keys found: 7)",0.67 to 0.79,0.67 to 0.79,output/tables/rb2_decisions_technologies_models.csv,over decision units 0.62 to 0.75
"W23(f), W7","median s over models, kappa-free fits of the smaller designs (Gadre, OLMo ladder, Muennighoff) (keys found: 5)",0.74 to 0.84,0.74 to 0.84,output/tables/rb2_decisions_technologies_models.csv,over decision units 0.66 to 0.80
"W24(c), W23(e)",all 32 technologies put w > 1 for this share of clean models (audited),0.6233766233766234,0.623,output/tables/rb2_decisions_cleaning.csv,union of 95% intervals above one: 0.182
W24(b),Table E4 row farseer_emb: median w / headFLOP w / share w>1 / median s,2.50 / 2.50 / 0.88 / 0.60,2.50 / 2.50 / 0.88 / 0.60,output/tables/rb2_decisions_conventions.csv,
W24(b),Table E4 row minicpm: median w / headFLOP w / share w>1 / median s,1.17 / 1.24 / 0.62 / 0.14,1.17 / 1.24 / 0.62 / 0.14,output/tables/rb2_decisions_conventions.csv,
W24(e),repetition: stablelm-3b-4e1t w with Muennighoff effective data,5.778652605907914,5.78,output/tables/rb5_units_repetition.csv,D_eff 3.73T; w at D 5.96; s 0.83 -> 0.83
W24(e),repetition: TinyLlama_v1.1 w with Muennighoff effective data,6.515132024740762,6.52,output/tables/rb5_units_repetition.csv,D_eff 1.96T; w at D 6.57; s 0.85 -> 0.85
W24(e),median s over decision units with both repeated-data models at effective data,0.7345318547777187,0.735,output/tables/rb5_units_repetition.csv,
W24(e),"median decision share with sigma* 0.667 (kappa-free fit, 137 Chinchilla profile runs, T (ra1 reproduction)), zero points fixed",0.7876538239533334,0.788,output/tables/rb5_units_level_sensitivity.csv,reference sigma* 0.701; models 0.801
W24(e),"median decision share with sigma* 0.656 (kappa-free fit, 137 Chinchilla profile runs, N_F (T4)), zero points fixed",0.8034976693197695,0.803,output/tables/rb5_units_level_sensitivity.csv,reference sigma* 0.701; models 0.817
